BasinID,dwnBasinID,Area_km2,Shape_Leng,ws2024tl,ws3024tl,ws4024tl,ws2028tl,ws3028tl,ws4028tl,ws2038tl,ws3038tl,ws4038tl,Shape_Le_1,Shape_Area,FacilityID,Latitude,Longitude,Formatted Address
5945,5921,29027,1532000,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),15.46984862,2.845174144,840,34.068027,108.62855,"3J9H+6FC, Huimin Rd, Hu Yi Qu, Xi An Shi, Shan Xi Sheng, China, 710306"
11610,0,15172,0,Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),13.24637217,1.418615807,841,30.37499699,-97.63750899,"12100 Samsung Blvd, Austin, TX 78754, USA"
3568,0,2527,734000,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),6.928823121,0.224929496,842,24.483278,118.17968,"China, Xia Men Shi, Si Ming Qu, è½¯ä»¶å›­2æœŸä¸œé—¨é¡¶ä½•533å·(å†œè¡Œå¯¹é¢) é‚®æ”¿ç¼–ç : 361016"
6396,6375,60321,1940000,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),18.49401488,5.482729746,843,27.46083,110.02833,"F26H+88 Huangyanxiang, Zhongfang County, Huaihua, Hunan, China"
3568,0,2527,734000,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),6.928823121,0.224929496,844,24.47979,118.08187,"2 Feng Huang Xi Li, Si Ming Qu, Xia Men Shi, Fu Jian Sheng, China, 361012"
3568,0,2527,734000,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),6.928823121,0.224929496,845,24.47979,118.08187,"2 Feng Huang Xi Li, Si Ming Qu, Xia Men Shi, Fu Jian Sheng, China, 361012"
3480,0,5507,536000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),5.072406221,0.492184795,846,24.91197,118.58052,"China, Fu Jian Sheng, Quan Zhou Shi, Li Cheng Qu, ç”²ç¬¬å··43-2å· é‚®æ”¿ç¼–ç : 362001"
6019,5784,34006,1580000,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),15.37352191,3.19255841,847,30.4,114.83333,"CR2M+28 Echeng District, Ezhou, Hubei, China"
12177,12158,14528,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),8.849037964,1.440615516,848,35.060742,-106.534688,"1101 Eubank Blvd SE, Albuquerque, NM 87116, USA"
12177,12158,14528,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),8.849037964,1.440615516,849,35.060742,-106.534688,"1101 Eubank Blvd SE, Albuquerque, NM 87116, USA"
3253,0,6856,630000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),6.424708567,0.707910705,850,38.42112301,140.3967054,"KÅ-5600-2 Higashine, Yamagata 999-3701, Japan"
3331,0,655,154000,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),1.585147588,0.065295125,851,35.81885363,139.5347799,"1-chÅme-13-19 Nakano, Niiza, Saitama 352-0005, Japan"
3254,0,5293,610000,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),6.20486912,0.540363493,852,37.57553499,140.4395111,"Japan, ã€’964-0811 Fukushima, Nihommatsu, Miyado, ï¼‘ï¼• ï¼‘ï¼•ç•ªåœ°"
